Time,kav,Vark,fsurvive,C,Call,meanW
0,0.092,0.089975,0.091,0,0,0.0095
1,0.226,0.212151,0.198,0,0,0.0207
2,0.35,0.3271,0.298,0,0,0.033
3,0.508,0.465399,0.394,0.01,0,0.0449
4,0.649,0.629596,0.481,0.02,0,0.0602
5,0.897,0.749436,0.588,0.02,0,0.0742
6,1.13,1.0259,0.651,0.03,0,0.099
7,1.352,1.38046,0.704,0.02,0,0.1244
8,1.696,1.65556,0.776,0.02,0,0.1479
9,2.154,2.11266,0.86,0.02,0,0.1812
10,2.546,2.45627,0.914,0.02,0,0.2277
11,2.959,2.6749,0.949,0.06,0,0.2652
12,3.473,2.84352,0.96,0.04,0,0.3059
13,3.864,3.38792,0.981,0.06,0,0.3578
14,4.327,3.32152,0.988,0.11,0,0.3978
15,4.826,3.56267,0.993,0.05,0,0.4427
16,5.233,3.55677,0.994,0.18,0,0.4935
17,5.681,3.7851,0.996,0.24,0,0.5336
18,6.183,3.91418,0.998,0.14,0,0.5768
19,6.707,4.26602,1,0.26,0,0.6272
20,7.218,4.2119,1,0.24,0,0.681
21,7.705,4.23914,1,0.29,0,0.7308
22,8.269,4.0466,1,0.37,0,0.7799
23,8.606,3.86355,1,0.42,0,0.8357
24,9.057,4.02675,1,0.33,0,0.8693
25,9.51,4.01478,1,0.45,0,0.9135
26,10.102,3.949,1,0.44,0,0.9614
27,10.522,3.55266,1,0.53,0,1.0188
28,10.999,3.5824,1,0.61,0,1.0598
29,11.367,3.33094,1,0.48,0,1.1084
30,11.836,3.36319,1,0.43,0,1.1447
31,12.213,3.30472,1,0.47,0,1.1909
32,12.681,3.29475,1,0.51,0,1.2307
33,13.065,3.30536,1,0.51,0,1.2762
34,13.361,3.29526,1,0.51,0,1.3144
35,13.675,2.96351,1,0.46,0,1.3433
36,14.059,2.89283,1,0.52,0,1.3763
37,14.384,2.92478,1,0.56,0,1.4135
38,14.684,2.7727,1,0.57,0,1.4464
39,15.051,2.72646,1,0.58,0,1.4744
40,15.374,2.53931,1,0.46,0,1.5133
41,15.714,2.62964,1,0.52,0,1.5434
42,16.024,2.56788,1,0.52,0,1.5761
43,16.3,2.82397,1,0.47,0,1.6095
44,16.672,2.8131,1,0.45,0,1.637
45,16.974,2.76246,1,0.52,0,1.6744
46,17.342,2.5493,1,0.45,0,1.7052
47,17.68,2.71294,1,0.52,0,1.7416
48,18.007,2.65183,1,0.37,0,1.7737
49,18.343,2.54943,1,0.46,0,1.8087
50,18.579,2.60954,1,0.53,0,1.8408
51,18.88,2.42212,1,0.55,0,1.8641
52,19.211,2.51004,1,0.53,0,1.8969
53,19.444,2.6191,1,0.5,0,1.927
54,19.733,2.51394,1,0.54,0,1.9508
55,20.006,2.63498,1,0.5,0,1.9795
56,20.358,2.66303,1,0.61,0,2.0063
57,20.669,2.70564,1,0.6,0,2.0434
58,21.03,2.6442,1,0.66,0,2.0714
59,21.338,2.65943,1,0.76,0,2.1087
60,21.774,2.8259,1,0.6,0,2.141
61,22.073,2.78377,1,0.66,0,2.1835
62,22.399,2.81496,1,0.63,0,2.2138
63,22.754,2.94824,1,0.73,0,2.2458
64,23.151,2.96096,1,0.64,0,2.2821
65,23.444,3.02219,1,0.72,0,2.3197
66,23.807,2.96799,1,0.63,0,2.3503
67,24.116,3.06731,1,0.72,0,2.3867
68,24.449,3.01498,1,0.72,0,2.4155
69,24.783,3.10178,1,0.73,0,2.4515
70,25.176,3.24576,1,0.81,0,2.4838
71,25.483,3.39692,1,0.8,0,2.5226
72,25.83,3.47006,1,0.74,0,2.5544
73,26.102,3.2651,1,0.79,0,2.587
74,26.511,3.48868,1,0.84,0,2.6146
75,26.874,3.00751,1,0.9,0,2.6567
76,27.267,2.87538,1,0.87,0,2.6932
77,27.472,2.67676,1,0.88,0,2.7329
78,27.735,2.69156,1,0.91,0,2.7521
79,28.004,2.83016,1,0.87,0,2.7779
80,28.3,2.47903,1,0.88,0,2.8063
81,28.633,2.39143,1,0.84,0,2.8337
82,28.949,2.40088,1,0.82,0,2.8682
83,29.27,2.49256,1,0.81,0,2.8979
84,29.569,2.51915,1,0.87,0,2.9293
85,29.89,2.64887,1,0.88,0,2.9623
86,30.226,2.66775,1,0.9,0,2.9943
87,30.589,2.47124,1,0.89,0,3.0266
88,30.858,2.46212,1,0.89,0,3.0626
89,31.182,2.337,1,0.91,0,3.0886
90,31.465,2.45563,1,0.94,0,3.1213
91,31.73,2.48396,1,0.93,0,3.1494
92,32.127,2.6596,1,0.91,0,3.178
93,32.397,2.6075,1,0.95,0,3.215
94,32.787,2.88538,1,0.98,0,3.2432
95,33.164,3.272,1,0.97,0,3.28
96,33.584,3.5599,1,0.99,0,3.319
97,33.986,3.58654,1,1,0,3.3616
98,34.419,3.55471,1,0.98,0,3.4017
99,34.789,3.5173,1,1,0,3.4448
100,35.195,3.52496,1,1,0,3.4821
101,35.62,3.38182,1,1,0,3.5224
102,35.916,3.02868,1,1,0,3.5646
103,36.132,2.6675,1,0.99,0,3.595
104,36.413,2.86843,1,1,1,3.6163
105,36.706,3.00222,1,1,1,3.6424
106,36.995,3.21537,1,1,1,3.6725
107,37.326,3.32847,1,1,1,3.7023
108,37.779,3.26323,1,1,1,3.7363
109,38.112,3.32603,1,1,1,3.7813
110,38.363,3.35331,1,1,1,3.8133
111,38.705,3.30787,1,1,1,3.8373
112,38.965,3.12137,1,1,1,3.8725
113,39.283,3.12864,1,1,1,3.8981
114,39.576,2.81702,1,1,1,3.9324
115,39.824,2.5999,1,1,1,3.959
116,40.035,2.3764,1,1,1,3.984
117,40.269,2.51886,1,1,1,4.0056
118,40.517,2.58577,1,1,1,4.0285
119,40.783,2.49742,1,1,1,4.0524
120,41.017,2.36558,1,1,1,4.0804
121,41.279,2.43563,1,1,1,4.1037
122,41.484,2.46663,1,1,1,4.1287
123,41.775,2.39598,1,1,1,4.1496
124,42.064,2.56236,1,1,1,4.1806
125,42.366,2.75996,1,1,1,4.2071
126,42.607,2.95231,1,1,1,4.2383
127,42.823,3.06476,1,1,1,4.2606
128,43.11,3.3202,1,1,1,4.2849
129,43.537,3.29484,1,1,1,4.3119
130,43.878,2.9919,1,1,1,4.3564
131,44.097,2.6476,1,1,1,4.3898
132,44.303,2.64746,1,1,1,4.4112
133,44.595,2.54943,1,1,1,4.4337
134,44.899,2.52034,1,1,1,4.4608
135,45.147,2.61197,1,1,1,4.4895
136,45.486,2.8871,1,1,1,4.5164
137,45.724,3.08583,1,1,1,4.5513
138,46.099,3.1391,1,1,1,4.573
139,46.517,3.3032,1,1,1,4.6099
140,46.73,3.71352,1,1,1,4.6522
141,47.14,3.82495,1,1,1,4.6743
142,47.554,3.65912,1,1,1,4.7141
143,47.856,3.72616,1,1,1,4.7562
144,48.254,3.83197,1,1,1,4.7855
145,48.507,3.86646,1,1,1,4.8256
146,48.873,3.414,1,1,1,4.8499
147,49.143,3.08468,1,1,1,4.8889
148,49.412,2.98926,1,1,1,4.9144
149,49.629,2.90878,1,1,1,4.9404
150,49.936,2.8495,1,1,1,4.9636
151,50.161,2.60024,1,1,1,4.9931
152,50.402,2.6368,1,1,1,5.0149
153,50.662,2.67554,1,1,1,5.0408
154,50.882,2.3991,1,1,1,5.0664
155,51.086,2.37054,1,1,1,5.0884
156,51.29,2.32537,1,1,1,5.1075
157,51.565,2.36197,1,1,1,5.1295
158,51.775,2.42875,1,1,1,5.1557
159,51.984,2.4276,1,1,1,5.178
160,52.188,2.65492,1,1,1,5.1991
161,52.494,2.7274,1,1,1,5.2199
162,52.795,2.87796,1,1,1,5.2506
163,53.121,3.03978,1,1,1,5.2765
164,53.394,3.02268,1,1,1,5.3111
165,53.639,3.19518,1,1,1,5.3396
166,53.896,3.43536,1,1,1,5.3621
167,54.275,3.56036,1,1,1,5.3879
168,54.514,3.39748,1,1,1,5.4246
169,54.924,3.35199,1,1,1,5.4497
170,55.303,3.24508,1,1,1,5.4911
171,55.714,3.44734,1,1,1,5.5284
172,55.93,3.4239,1,1,1,5.569
173,56.275,3.28308,1,1,1,5.5911
174,56.567,3.05799,1,1,1,5.6247
175,56.763,2.82824,1,1,1,5.6542
176,57.036,2.7455,1,1,1,5.675
177,57.254,2.56247,1,1,1,5.7023
178,57.463,2.51816,1,1,1,5.7221
179,57.637,2.2235,1,1,1,5.745
180,57.743,1.95454,1,1,1,5.7616
181,57.865,1.88182,1,1,1,5.7724
182,57.973,1.96177,1,1,1,5.7835
183,58.063,1.83308,1,1,1,5.7946
184,58.213,1.90132,1,1,1,5.8026
185,58.411,1.98436,1,1,1,5.8194
186,58.535,2.0082,1,1,1,5.8401
187,58.716,2.15977,1,1,1,5.8515
188,58.949,2.14352,1,1,1,5.8691
189,59.133,2.28996,1,1,1,5.8929
190,59.425,2.51634,1,1,1,5.9108
191,59.72,2.8438,1,1,1,5.9399
192,60.002,3.1331,1,1,1,5.967
193,60.213,3.40968,1,1,1,5.9982
194,60.633,3.54432,1,1,1,6.0178
195,60.935,3.58059,1,1,1,6.0597
196,61.26,3.57516,1,1,1,6.0906
197,61.654,3.36136,1,1,1,6.1238
198,61.878,2.92231,1,1,1,6.1617
199,62.018,2.85512,1,1,1,6.1859
200,62.316,2.80688,1,1,1,6.1989
201,62.535,2.51474,1,1,1,6.2292
202,62.685,2.24192,1,1,1,6.2509
203,62.921,2.07104,1,1,1,6.2658
204,63.056,1.93546,1,1,1,6.2888
205,63.183,2.07077,1,1,1,6.3015
206,63.344,1.9388,1,1,1,6.3149
207,63.52,1.83451,1,1,1,6.3317
208,63.677,1.91527,1,1,1,6.3473
209,63.86,1.93755,1,1,1,6.3643
210,63.926,1.94842,1,1,1,6.3828
211,64.123,1.97996,1,1,1,6.3929
212,64.301,2.05143,1,1,1,6.4087
213,64.464,2.1099,1,1,1,6.429
214,64.573,2.21043,1,1,1,6.4413
215,64.726,2.2607,1,1,1,6.4536
216,64.921,2.38958,1,1,1,6.4696
217,65.07,2.44636,1,1,1,6.4871
218,65.338,2.62227,1,1,1,6.5027
219,65.509,2.42952,1,1,1,6.5309
220,65.695,2.63737,1,1,1,6.5475
221,65.9,2.74797,1,1,1,6.5655
222,66.218,2.72223,1,1,1,6.5863
223,66.367,2.81967,1,1,1,6.6177
224,66.663,3.05407,1,1,1,6.6327
225,66.985,3.31068,1,1,1,6.6639
226,67.237,3.34024,1,1,1,6.6958
227,67.447,3.05351,1,1,1,6.7183
228,67.613,2.8466,1,1,1,6.7414
229,67.927,2.98467,1,1,1,6.7573
230,68.154,3.02131,1,1,1,6.7883
231,68.318,2.91931,1,1,1,6.8117
232,68.597,2.7964,1,1,1,6.8301
233,68.771,2.69379,1,1,1,6.8547
234,69.008,2.82474,1,1,1,6.8708
235,69.272,2.79196,1,1,1,6.8994
236,69.535,2.59964,1,1,1,6.9231
237,69.708,2.30395,1,1,1,6.9493
238,69.906,2.28878,1,1,1,6.9665
239,70.156,2.30277,1,1,1,6.9865
240,70.39,2.38316,1,1,1,7.0094
241,70.63,2.49584,1,1,1,7.0358
242,70.826,2.29894,1,1,1,7.0584
243,70.991,2.14448,1,1,1,7.0789
244,71.113,2.08737,1,1,1,7.0925
245,71.294,1.86216,1,1,1,7.1062
246,71.441,1.84395,1,1,1,7.1243
247,71.608,1.78697,1,1,1,7.1395
248,71.661,1.61697,1,1,1,7.1555
249,71.793,1.57831,1,1,1,7.1633
250,71.908,1.54899,1,1,1,7.1747
251,72.026,1.50836,1,1,1,7.1871
252,72.142,1.58122,1,1,1,7.1972
253,72.237,1.6226,1,1,1,7.2086
254,72.338,1.56852,1,1,1,7.2191
255,72.469,1.54238,1,1,1,7.2296
256,72.561,1.46267,1,1,1,7.2427
257,72.657,1.52737,1,1,1,7.2525
258,72.727,1.60012,1,1,1,7.2609
259,72.868,1.59008,1,1,1,7.2661
260,72.986,1.6788,1,1,1,7.2802
261,73.147,1.7239,1,1,1,7.2936
262,73.214,1.7059,1,1,1,7.309
263,73.356,1.75044,1,1,1,7.3166
264,73.443,1.86032,1,1,1,7.3291
265,73.58,1.92078,1,1,1,7.3404
266,73.71,2.03677,1,1,1,7.3535
267,73.832,2.05211,1,1,1,7.3667
268,73.992,2.10471,1,1,1,7.3767
269,74.02,2.19264,1,1,1,7.3942
270,74.211,2.24256,1,1,1,7.3979
271,74.388,2.3071,1,1,1,7.417
272,74.566,2.14076,1,1,1,7.4329
273,74.729,2.10383,1,1,1,7.4513
274,74.893,2.07366,1,1,1,7.4656
275,75.05,2.03511,1,1,1,7.4833
276,75.295,1.96099,1,1,1,7.5003
277,75.405,1.70748,1,1,1,7.5246
278,75.477,1.7149,1,1,1,7.5348
279,75.516,1.5462,1,1,1,7.5401
280,75.617,1.54082,1,1,1,7.5428
281,75.693,1.56097,1,1,1,7.5555
282,75.759,1.71662,1,1,1,7.5624
283,75.9,1.76636,1,1,1,7.5694
284,76.011,1.8342,1,1,1,7.5849
285,76.129,1.7471,1,1,1,7.597
286,76.208,1.8831,1,1,1,7.607
287,76.306,1.9049,1,1,1,7.6152
288,76.454,2.03983,1,1,1,7.6263
289,76.622,2.3536,1,1,1,7.6398
290,76.831,2.54652,1,1,1,7.6574
291,77.09,2.70982,1,1,1,7.6776
292,77.279,3.39722,1,1,1,7.7028
293,77.586,3.52704,1,1,1,7.7219
294,77.813,3.65491,1,1,1,7.7533
295,78.154,3.83724,1,1,1,7.7734
296,78.28,4.06672,1,1,1,7.8091
297,78.378,4.0276,1,1,1,7.822
298,78.657,4.1099,1,1,1,7.831
299,78.963,3.98339,1,1,1,7.8603
